,ID,Thread,Port,Event,Index,cstruct
594,r595,T4,9688008,recv,6,"['s38', 's29', 's20', 's11', 'r18', 's2', 'r27', 'r36', 's56', 'r45', 's47', 'r9', 's9', 's36', 's27', 's18']"
595,r596,T1,9688008,recv,8,"['r3', 's46', 's45', 's10', 's36', 'r591', 's27', 'r69', 's54', 's28', 's37', 'r593', 'r587', 's63', 'r586', 's19', 's1', 'r589', 's9', 's18']"
596,r597,T2,9688008,recv,8,"['s38', 's29', 'r588', 's46', 's10', 'r4', 's20', 'r590', 's47', 's28', 's55', 's37', 'r131', 's2', 's19', 's11', 's1', 's4', 'r592', 'r594', 'r134']"
597,r598,T4,9688008,recv,7,"['s38', 's29', 's20', 's11', 'r595', 's2', 'r27', 'r36', 's56', 'r18', 'r45', 's45', 's47', 'r9', 's9', 's36', 's27', 's18']"
598,r599,T2,9688008,recv,3,"['s38', 's29', 's20', 's11', 's2', 'r104', 's47', 'r4']"
599,r600,T2,9688008,recv,4,"['s38', 's29', 's20', 's11', 's2', 's4', 'r104', 'r599', 's47', 'r4']"
600,r601,T4,9688008,recv,4,"['s29', 's38', 's20', 's11', 's2', 's56', 's18', 'r294', 's47', 'r9', 's9', 's27', 'r73']"
601,r602,T1,9688008,recv,5,"['r3', 's1', 's19', 'r10', 'r295', 's28', 's10', 's3', 'r292', 's37']"
602,r603,T2,9688008,recv,5,"['s38', 's29', 's46', 'r600', 'r599', 's10', 'r4', 's20', 's47', 's28', 's55', 's64', 's37', 's2', 's19', 's11', 's1', 's4', 'r104']"
603,r604,T4,9688008,recv,5,"['s38', 's29', 's20', 's11', 's2', 'r73', 's56', 'r601', 'r294', 's47', 'r9', 's9', 's36', 's27', 's18']"
604,r605,T1,9688008,recv,6,"['r3', 's63', 's1', 's19', 's54', 'r10', 's45', 'r295', 's28', 'r602', 's10', 's9', 's3', 's36', 's27', 's18', 'r292', 's37']"
605,r606,T2,9688008,recv,6,"['s38', 's29', 's46', 'r600', 'r599', 's10', 'r4', 's20', 'r603', 's47', 's28', 's55', 's64', 's37', 's2', 's19', 's11', 's1', 's4', 'r104']"
606,r607,T1,9688008,recv,7,"['r3', 's46', 's45', 'r605', 's10', 's36', 's27', 's54', 'r295', 's28', 's3', 's37', 's63', 's19', 'r602', 's1', 'r10', 's9', 's18', 'r292']"
